transaction_id,customer_id,purchase_date,amount,quantity,product_category,payment_method,discount_applied,source,age,location,customer_segment,registration_date,category_name,avg_price,inventory,last_updated,total_spending,spending_quartile,is_high_value,year,month,quarter,day_of_week,is_weekend,is_holiday_season,first_purchase_date,last_purchase_date,customer_age_days,recency_days,purchase_frequency,frequency_category,category_beauty,category_books,category_clothing,category_electronics,category_groceries,category_home  garden,category_sports,category_toys,rfm_recency,rfm_frequency,rfm_monetary
11.0,CUST_00394,2026-07-01 05:22:02.991085,80.17,4.0,groceries,Debit Card,True,transactions,,,,,,,,,602.33,Q2,0,2026,7,3,Wednesday,0,0,2026-02-21 05:22:03.002731,2026-08-04 05:22:02.997832,129,3,6,Regular,False,False,False,False,True,False,False,False,3,6,602.33
12.0,CUST_00197,2025-11-27 05:22:02.991091,69.12,4.0,sports,Credit Card,True,transactions,,,,,,,,,587.45,Q2,0,2025,11,4,Thursday,0,1,2025-08-21 05:22:03.002043,2026-06-24 05:22:02.999609,97,44,4,Occasional,False,False,False,False,False,False,True,False,44,4,587.45
13.0,CUST_00441,2026-06-14 05:22:02.991097,226.95,4.0,sports,Wallet,False,transactions,,,,,,,,,726.8,Q4,1,2026,6,2,Sunday,1,0,2025-10-20 05:22:02.993452,2026-06-14 05:22:02.991097,236,54,6,Regular,False,False,False,False,False,False,True,False,54,6,726.8
14.0,CUST_00128,2026-06-06 05:22:02.991103,79.64,4.0,home  garden,PayPal,True,transactions,,,,,,,,,639.78,Q2,0,2026,6,2,Saturday,1,0,2026-04-14 05:22:02.994243,2026-08-01 05:22:03.001464,52,6,4,Occasional,False,False,False,False,False,True,False,False,6,4,639.78
15.0,CUST_00457,2025-12-24 05:22:02.991109,198.11,5.0,groceries,Wallet,True,transactions,,,,,,,,,802.2,Q4,1,2025,12,4,Wednesday,0,1,2025-08-29 05:22:02.998146,2026-05-04 05:22:03.002915,116,94,5,Occasional,False,False,False,False,True,False,False,False,94,5,802.2
16.0,CUST_00381,2025-12-07 05:22:02.991114,133.36,4.0,books,PayPal,True,transactions,,,,,,,,,352.27,Q3,0,2025,12,4,Sunday,1,1,2025-10-19 05:22:02.995793,2026-06-28 05:22:03.002121,48,39,4,Occasional,False,True,False,False,False,False,False,False,39,4,352.27
17.0,CUST_00267,2025-12-02 05:22:02.991120,102.21,2.0,books,PayPal,False,transactions,,,,,,,,,758.0699999999999,Q3,0,2025,12,4,Tuesday,0,1,2025-09-11 05:22:02.996773,2026-06-04 05:22:03.001316,81,64,6,Regular,False,True,False,False,False,False,False,False,64,6,758.0699999999999
18.0,CUST_00172,2026-02-25 05:22:02.991126,90.16,5.0,clothing,Debit Card,False,transactions,,,,,,,,,614.76,Q2,0,2026,2,1,Wednesday,0,0,2025-12-13 05:22:03.002290,2026-07-10 05:22:02.996700,73,28,5,Occasional,False,False,True,False,False,False,False,False,28,5,614.76
19.0,CUST_00079,2025-08-11 05:22:02.991131,39.96,2.0,clothing,PayPal,False,transactions,,,,,,,,,751.87,Q1,0,2025,8,3,Monday,0,0,2025-08-11 05:22:02.991131,2026-07-16 05:22:02.999626,0,22,8,Regular,False,False,True,False,False,False,False,False,22,8,751.87
20.0,CUST_00213,2026-07-07 05:22:02.991137,113.01,2.0,groceries,Credit Card,True,transactions,,,,,,,,,309.11,Q3,0,2026,7,3,Tuesday,0,0,2025-12-24 05:22:02.996877,2026-07-07 05:22:02.991137,194,31,3,Occasional,False,False,False,False,True,False,False,False,31,3,309.11
21.0,CUST_00392,2025-10-17 05:22:02.991142,76.5,4.0,,PayPal,False,transactions,,,,,,,,,705.46,Q2,0,2025,10,4,Friday,0,0,2025-10-17 05:22:02.991142,2026-05-31 05:22:03.003244,0,67,7,Regular,False,False,False,False,False,False,False,False,67,7,705.46
22.0,CUST_00200,2026-01-05 05:22:02.991148,119.93,5.0,sports,PayPal,False,transactions,,,,,,,,,358.39,Q3,0,2026,1,1,Monday,0,0,2025-08-20 05:22:03.002630,2026-04-13 05:22:03.003430,137,115,4,Occasional,False,False,False,False,False,False,True,False,115,4,358.39
23.0,CUST_00015,2026-01-20 05:22:02.991153,42.31,3.0,groceries,Wallet,True,transactions,,,,,,,,,177.9,Q1,0,2026,1,1,Tuesday,0,0,2026-01-20 05:22:02.991153,2026-04-04 05:22:02.997278,0,125,3,Occasional,False,False,False,False,True,False,False,False,125,3,177.9
24.0,CUST_00319,2025-11-07 05:22:02.991159,42.41,1.0,groceries,Credit Card,False,transactions,,,,,,,,,471.9,Q1,0,2025,11,4,Friday,0,1,2025-08-30 05:22:03.003435,2026-06-13 05:22:03.000314,68,55,5,Occasional,False,False,False,False,True,False,False,False,55,5,471.9
25.0,CUST_00220,2026-05-30 05:22:02.991164,23.14,4.0,home  garden,Wallet,False,transactions,,,,,,,,,919.2,Q1,0,2026,5,2,Saturday,1,0,2026-01-20 05:22:02.993206,2026-05-30 05:22:02.991164,129,69,7,Regular,False,False,False,False,False,True,False,False,69,7,919.2
26.0,CUST_00233,2026-02-21 05:22:02.991169,51.75,3.0,groceries,Wallet,False,transactions,,,,,,,,,287.99,Q1,0,2026,2,1,Saturday,1,0,2025-10-01 05:22:02.992728,2026-07-02 05:22:02.991491,142,36,4,Occasional,False,False,False,False,True,False,False,False,36,4,287.99
27.0,CUST_00042,2025-12-10 05:22:02.991175,88.54,1.0,electronics,PayPal,False,transactions,,,,,,,,,294.77,Q2,0,2025,12,4,Wednesday,0,1,2025-12-10 05:22:02.991175,2026-02-24 05:22:02.991921,0,164,3,Occasional,False,False,False,True,False,False,False,False,164,3,294.77
28.0,CUST_00036,2025-09-08 05:22:02.991181,75.0,1.0,electronics,Debit Card,True,transactions,,,,,,,,,340.03,Q2,0,2025,9,3,Monday,0,0,2025-09-08 05:22:02.991181,2026-03-20 05:22:03.000073,0,140,3,Occasional,False,False,False,True,False,False,False,False,140,3,340.03
29.0,CUST_00319,2026-05-21 05:22:02.991187,57.63,2.0,home  garden,Credit Card,False,transactions,,,,,,,,,471.9,Q1,0,2026,5,2,Thursday,0,0,2025-08-30 05:22:03.003435,2026-06-13 05:22:03.000314,263,55,5,Occasional,False,False,False,False,False,True,False,False,55,5,471.9
30.0,CUST_00112,2025-12-12 05:22:02.991192,143.94,3.0,beauty,Credit Card,True,transactions,,,,,,,,,396.09000000000003,Q4,1,2025,12,4,Friday,0,1,2025-10-08 05:22:02.999661,2026-05-26 05:22:02.997322,64,73,4,Occasional,True,False,False,False,False,False,False,False,73,4,396.09000000000003
31.0,CUST_00084,2026-03-01 05:22:02.991198,177.02,1.0,electronics,Wallet,False,transactions,,,,,,,,,305.47,Q4,1,2026,3,1,Sunday,1,0,2025-09-11 05:22:02.995273,2026-03-01 05:22:02.991198,170,159,3,Occasional,False,False,False,True,False,False,False,False,159,3,305.47
32.0,CUST_00367,2026-04-28 05:22:02.991203,206.79,1.0,sports,PayPal,True,transactions,,,,,,,,,817.11,Q4,1,2026,4,2,Tuesday,0,0,2025-11-19 05:22:03.002354,2026-07-24 05:22:02.999103,159,14,8,Regular,False,False,False,False,False,False,True,False,14,8,817.11
33.0,CUST_00308,2026-06-07 05:22:02.991209,146.19,5.0,electronics,Wallet,False,transactions,,,,,,,,,365.07,Q4,1,2026,6,2,Sunday,1,0,2025-12-24 05:22:02.995478,2026-06-07 05:22:02.991209,164,61,4,Occasional,False,False,False,True,False,False,False,False,61,4,365.07
34.0,CUST_00036,2025-11-21 05:22:02.991214,214.95,3.0,electronics,Wallet,False,transactions,,,,,,,,,340.03,Q4,1,2025,11,4,Friday,0,1,2025-09-08 05:22:02.991181,2026-03-20 05:22:03.000073,74,140,3,Occasional,False,False,False,True,False,False,False,False,140,3,340.03
35.0,CUST_00492,2026-02-03 05:22:02.991220,178.93,4.0,home  garden,PayPal,False,transactions,,,,,,,,,877.08,Q4,1,2026,2,1,Tuesday,0,0,2025-09-12 05:22:02.999432,2026-05-13 05:22:03.003141,143,85,8,Regular,False,False,False,False,False,True,False,False,85,8,877.08
36.0,CUST_00471,2025-11-05 05:22:02.991225,100.19,4.0,toys,PayPal,False,transactions,,,,,,,,,359.9,Q3,0,2025,11,4,Wednesday,0,1,2025-09-25 05:22:02.996467,2026-07-17 05:22:02.992998,40,21,5,Occasional,False,False,False,False,False,False,False,True,21,5,359.9
37.0,CUST_00126,2026-06-24 05:22:02.991231,63.38,3.0,toys,Wallet,False,transactions,,,,,,,,,83.55000000000001,Q2,0,2026,6,2,Wednesday,0,0,2026-06-24 05:22:02.991231,2026-06-29 05:22:02.999873,0,39,2,Occasional,False,False,False,False,False,False,False,True,39,2,83.55000000000001
38.0,CUST_00343,2026-01-25 05:22:02.991236,20.16,3.0,electronics,PayPal,False,transactions,,,,,,,,,1101.07,Q1,0,2026,1,1,Sunday,1,0,2025-11-09 05:22:02.992646,2026-07-29 05:22:02.995660,76,9,9,Regular,False,False,False,True,False,False,False,False,9,9,1101.07
39.0,CUST_00109,2026-02-07 05:22:02.991242,76.56,3.0,beauty,PayPal,False,transactions,,,,,,,,,338.52,Q2,0,2026,2,1,Saturday,1,0,2025-09-07 05:22:02.996457,2026-07-27 05:22:03.000068,152,11,5,Occasional,True,False,False,False,False,False,False,False,11,5,338.52
40.0,CUST_00265,2026-05-02 05:22:02.991247,81.5,1.0,sports,Wallet,False,transactions,,,,,,,,,872.91,Q2,0,2026,5,2,Saturday,1,0,2025-09-04 05:22:03.001891,2026-05-26 05:22:03.000751,239,73,7,Regular,False,False,False,False,False,False,True,False,73,7,872.91
41.0,CUST_00124,2025-08-19 05:22:02.991252,83.78,4.0,toys,Credit Card,False,transactions,,,,,,,,,329.86,Q2,0,2025,8,3,Tuesday,0,0,2025-08-19 05:22:02.991252,2026-07-30 05:22:03.000475,0,8,3,Occasional,False,False,False,False,False,False,False,True,8,3,329.86
42.0,CUST_00114,2026-01-12 05:22:02.991258,215.16,2.0,books,PayPal,False,transactions,,,,,,,,,837.96,Q4,1,2026,1,1,Monday,0,0,2025-09-26 05:22:02.994732,2026-07-06 05:22:03.002152,107,31,6,Regular,False,True,False,False,False,False,False,False,31,6,837.96
43.0,CUST_00272,2026-02-12 05:22:02.991263,166.19,4.0,beauty,Wallet,False,transactions,,,,,,,,,308.94,Q4,1,2026,2,1,Thursday,0,0,2026-02-12 05:22:02.991263,2026-06-20 05:22:02.996574,0,48,3,Occasional,True,False,False,False,False,False,False,False,48,3,308.94
44.0,CUST_00129,2026-04-11 05:22:02.991269,13.48,1.0,sports,Debit Card,False,transactions,,,,,,,,,13.48,Q1,0,2026,4,2,Saturday,1,0,2026-04-11 05:22:02.991269,2026-04-11 05:22:02.991269,0,118,1,One-time,False,False,False,False,False,False,True,False,118,1,13.48
45.0,CUST_00379,2025-12-03 05:22:02.991275,208.36,3.0,books,Debit Card,False,transactions,,,,,,,,,372.47,Q4,1,2025,12,4,Wednesday,0,1,2025-12-03 05:22:02.991275,2026-06-18 05:22:02.991464,0,50,4,Occasional,False,True,False,False,False,False,False,False,50,4,372.47
46.0,CUST_00185,2026-05-08 05:22:02.991281,105.18,3.0,electronics,Debit Card,False,transactions,,,,,,,,,556.77,Q3,0,2026,5,2,Friday,0,0,2025-09-22 05:22:02.999980,2026-05-08 05:22:02.991281,227,91,5,Occasional,False,False,False,True,False,False,False,False,91,5,556.77
47.0,CUST_00499,2026-07-11 05:22:02.991286,218.94,5.0,books,Debit Card,False,transactions,,,,,,,,,498.2,Q4,1,2026,7,3,Saturday,1,0,2025-08-18 05:22:02.997455,2026-07-11 05:22:02.991286,326,27,4,Occasional,False,True,False,False,False,False,False,False,27,4,498.2
48.0,CUST_00386,2025-11-29 05:22:02.991291,149.85,1.0,electronics,Wallet,False,transactions,,,,,,,,,860.97,Q4,1,2025,11,4,Saturday,1,1,2025-08-10 05:22:02.998125,2026-06-14 05:22:03.001297,110,54,7,Regular,False,False,False,True,False,False,False,False,54,7,860.97
49.0,CUST_00175,2026-05-05 05:22:02.991296,110.99,1.0,books,Wallet,False,transactions,,,,,,,,,147.57999999999998,Q3,0,2026,5,2,Tuesday,0,0,2026-01-17 05:22:02.995960,2026-05-05 05:22:02.991296,107,94,2,Occasional,False,True,False,False,False,False,False,False,94,2,147.57999999999998
50.0,CUST_00034,2026-01-14 05:22:02.991379,92.06,4.0,clothing,Credit Card,False,transactions,,,,,,,,,92.06,Q2,0,2026,1,1,Wednesday,0,0,2026-01-14 05:22:02.991379,2026-01-14 05:22:02.991379,0,205,1,One-time,False,False,True,False,False,False,False,False,205,1,92.06
51.0,CUST_00416,2025-10-23 05:22:02.991428,141.93,3.0,clothing,Credit Card,False,transactions,,,,,,,,,407.99,Q4,1,2025,10,4,Thursday,0,0,2025-10-23 05:22:02.991428,2026-01-31 05:22:03.000409,0,188,4,Occasional,False,False,True,False,False,False,False,False,188,4,407.99
52.0,CUST_00214,2025-10-01 05:22:02.991446,82.72,5.0,sports,Wallet,False,transactions,,,,,,,,,237.07,Q2,0,2025,10,4,Wednesday,0,0,2025-10-01 05:22:02.991446,2026-07-30 05:22:03.002084,0,7,3,Occasional,False,False,False,False,False,False,True,False,7,3,237.07
53.0,CUST_00227,2026-03-08 05:22:02.991455,91.78,5.0,groceries,Credit Card,False,transactions,,,,,,,,,785.0,Q2,0,2026,3,1,Sunday,1,0,2025-08-27 05:22:02.991067,2026-05-25 05:22:02.997848,193,74,7,Regular,False,False,False,False,True,False,False,False,74,7,785.0
54.0,CUST_00379,2026-06-18 05:22:02.991464,62.39,2.0,sports,Credit Card,False,transactions,,,,,,,,,372.47,Q2,0,2026,6,2,Thursday,0,0,2025-12-03 05:22:02.991275,2026-06-18 05:22:02.991464,197,50,4,Occasional,False,False,False,False,False,False,True,False,50,4,372.47
55.0,CUST_00089,2025-10-29 05:22:02.991473,51.38,1.0,,Wallet,False,transactions,,,,,,,,,125.41,Q1,0,2025,10,4,Wednesday,0,0,2025-10-29 05:22:02.991473,2026-03-06 05:22:03.001962,0,153,3,Occasional,False,False,False,False,False,False,False,False,153,3,125.41
56.0,CUST_00241,2026-03-11 05:22:02.991483,81.03,1.0,sports,PayPal,True,transactions,,,,,,,,,854.38,Q2,0,2026,3,1,Wednesday,0,0,2025-11-22 05:22:02.996662,2026-07-21 05:22:03.002838,108,16,7,Regular,False,False,False,False,False,False,True,False,16,7,854.38
57.0,CUST_00233,2026-07-02 05:22:02.991491,21.68,2.0,books,Debit Card,False,transactions,,,,,,,,,287.99,Q1,0,2026,7,3,Thursday,0,0,2025-10-01 05:22:02.992728,2026-07-02 05:22:02.991491,273,36,4,Occasional,False,True,False,False,False,False,False,False,36,4,287.99
58.0,CUST_00279,2026-04-14 05:22:02.991500,75.44,2.0,books,Credit Card,False,transactions,,,,,,,,,184.35,Q2,0,2026,4,2,Tuesday,0,0,2025-08-18 05:22:02.999762,2026-04-14 05:22:02.991500,238,115,4,Occasional,False,True,False,False,False,False,False,False,115,4,184.35
59.0,CUST_00406,2026-03-03 05:22:02.991537,27.04,5.0,books,Wallet,False,transactions,,,,,,,,,178.03,Q1,0,2026,3,1,Tuesday,0,0,2025-12-02 05:22:03.001469,2026-08-06 05:22:02.996909,90,1,4,Occasional,False,True,False,False,False,False,False,False,1,4,178.03
60.0,CUST_00359,2026-01-13 05:22:02.991547,141.55,3.0,toys,Credit Card,True,transactions,,,,,,,,,501.77,Q4,1,2026,1,1,Tuesday,0,0,2026-01-13 05:22:02.991547,2026-07-28 05:22:02.999251,0,10,4,Occasional,False,False,False,False,False,False,False,True,10,4,501.77
61.0,CUST_00377,2026-02-23 05:22:02.991554,78.49,5.0,,Debit Card,True,transactions,,,,,,,,,1291.2,Q2,0,2026,2,1,Monday,0,0,2025-11-12 05:22:02.995617,2026-07-07 05:22:02.992600,102,31,9,Regular,False,False,False,False,False,False,False,False,31,9,1291.2
62.0,CUST_00429,2025-10-17 05:22:02.991560,48.34,5.0,electronics,PayPal,False,transactions,,,,,,,,,721.2,Q1,0,2025,10,4,Friday,0,0,2025-09-25 05:22:02.995077,2026-01-21 05:22:02.995433,21,198,5,Occasional,False,False,False,True,False,False,False,False,198,5,721.2
63.0,CUST_00391,2026-05-10 05:22:02.991566,58.09,4.0,toys,Debit Card,True,transactions,,,,,,,,,304.55,Q1,0,2026,5,2,Sunday,1,0,2026-05-10 05:22:02.991566,2026-06-29 05:22:02.992348,0,39,2,Occasional,False,False,False,False,False,False,False,True,39,2,304.55
64.0,CUST_00224,2025-09-16 05:22:02.991572,156.55,4.0,clothing,Wallet,False,transactions,,,,,,,,,329.65000000000003,Q4,1,2025,9,3,Tuesday,0,0,2025-09-16 05:22:02.991572,2026-04-07 05:22:02.993482,0,122,3,Occasional,False,False,True,False,False,False,False,False,122,3,329.65000000000003
65.0,CUST_00344,2026-06-15 05:22:02.991577,110.06,2.0,beauty,Wallet,False,transactions,,,,,,,,,682.0,Q3,0,2026,6,2,Monday,0,0,2025-08-13 05:22:02.992156,2026-08-04 05:22:03.000735,305,3,6,Regular,True,False,False,False,False,False,False,False,3,6,682.0
66.0,CUST_00484,2026-01-14 05:22:02.991583,168.74,5.0,electronics,PayPal,False,transactions,,,,,,,,,442.57,Q4,1,2026,1,1,Wednesday,0,0,2026-01-14 05:22:02.991583,2026-06-09 05:22:03.003353,0,58,2,Occasional,False,False,False,True,False,False,False,False,58,2,442.57
67.0,CUST_00060,2026-01-13 05:22:02.991588,87.22,5.0,electronics,Wallet,False,transactions,,,,,,,,,916.01,Q2,0,2026,1,1,Tuesday,0,0,2025-10-18 05:22:02.999130,2026-08-01 05:22:02.997695,86,6,10,Regular,False,False,False,True,False,False,False,False,6,10,916.01
68.0,CUST_00097,2025-11-15 05:22:02.991594,96.89,3.0,toys,Credit Card,False,transactions,,,,,,,,,182.7,Q3,0,2025,11,4,Saturday,1,1,2025-11-15 05:22:02.991594,2026-05-27 05:22:02.999294,0,72,2,Occasional,False,False,False,False,False,False,False,True,72,2,182.7
69.0,CUST_00282,2026-06-01 05:22:02.991599,139.94,3.0,toys,Wallet,False,transactions,,,,,,,,,521.5600000000001,Q3,0,2026,6,2,Monday,0,0,2025-09-12 05:22:02.994412,2026-06-01 05:22:02.991599,261,67,4,Occasional,False,False,False,False,False,False,False,True,67,4,521.5600000000001
70.0,CUST_00499,2025-09-19 05:22:02.991610,64.86,5.0,sports,PayPal,False,transactions,,,,,,,,,498.2,Q2,0,2025,9,3,Friday,0,0,2025-08-18 05:22:02.997455,2026-07-11 05:22:02.991286,31,27,4,Occasional,False,False,False,False,False,False,True,False,27,4,498.2
71.0,CUST_00283,2026-01-11 05:22:02.991616,69.27,1.0,sports,Credit Card,False,transactions,,,,,,,,,432.96999999999997,Q2,0,2026,1,1,Sunday,1,0,2025-09-08 05:22:03.000290,2026-06-02 05:22:02.992386,124,66,5,Occasional,False,False,False,False,False,False,True,False,66,5,432.96999999999997
72.0,CUST_00061,2025-09-10 05:22:02.991621,86.8,2.0,toys,PayPal,False,transactions,,,,,,,,,514.39,Q2,0,2025,9,3,Wednesday,0,0,2025-09-10 05:22:02.991621,2026-07-23 05:22:02.993536,0,15,5,Occasional,False,False,False,False,False,False,False,True,15,5,514.39
73.0,CUST_00140,2026-01-07 05:22:02.991627,131.22,4.0,toys,Debit Card,False,transactions,,,,,,,,,355.42,Q3,0,2026,1,1,Wednesday,0,0,2025-08-14 05:22:02.995289,2026-01-07 05:22:02.991627,145,212,3,Occasional,False,False,False,False,False,False,False,True,212,3,355.42
74.0,CUST_00472,2025-10-05 05:22:02.991632,196.63,5.0,home  garden,PayPal,True,transactions,,,,,,,,,1449.15,Q4,1,2025,10,4,Sunday,1,0,2025-08-28 05:22:02.994535,2026-04-25 05:22:02.993473,37,104,10,Regular,False,False,False,False,False,True,False,False,104,10,1449.15
75.0,CUST_00438,2026-01-07 05:22:02.991637,141.1,3.0,books,PayPal,True,transactions,,,,,,,,,507.83,Q4,1,2026,1,1,Wednesday,0,0,2026-01-07 05:22:02.991637,2026-07-21 05:22:02.993950,0,17,4,Occasional,False,True,False,False,False,False,False,False,17,4,507.83
77.0,CUST_00177,2026-02-18 05:22:02.991648,104.77,5.0,groceries,PayPal,True,transactions,,,,,,,,,347.28999999999996,Q3,0,2026,2,1,Wednesday,0,0,2025-11-03 05:22:02.993939,2026-05-03 05:22:03.002903,106,95,3,Occasional,False,False,False,False,True,False,False,False,95,3,347.28999999999996
78.0,CUST_00358,2026-04-07 05:22:02.991655,93.14,5.0,groceries,Wallet,False,transactions,,,,,,,,,679.42,Q3,0,2026,4,2,Tuesday,0,0,2025-09-16 05:22:03.003114,2026-07-10 05:22:03.003393,202,27,7,Regular,False,False,False,False,True,False,False,False,27,7,679.42
79.0,CUST_00382,2025-12-08 05:22:02.991660,217.72,4.0,groceries,Debit Card,False,transactions,,,,,,,,,1186.79,Q4,1,2025,12,4,Monday,0,1,2025-08-23 05:22:02.998568,2026-08-04 05:22:02.999405,106,3,9,Regular,False,False,False,False,True,False,False,False,3,9,1186.79
80.0,CUST_00019,2026-06-04 05:22:02.991665,145.7,5.0,beauty,Wallet,False,transactions,,,,,,,,,541.76,Q4,1,2026,6,2,Thursday,0,0,2025-08-17 05:22:02.996244,2026-06-04 05:22:02.991665,290,64,5,Occasional,True,False,False,False,False,False,False,False,64,5,541.76
81.0,CUST_00467,2025-12-17 05:22:02.991670,85.04,1.0,home  garden,Debit Card,False,transactions,,,,,,,,,320.31,Q2,0,2025,12,4,Wednesday,0,1,2025-09-04 05:22:02.998686,2026-07-10 05:22:02.992407,103,28,4,Occasional,False,False,False,False,False,True,False,False,28,4,320.31
82.0,CUST_00401,2026-03-25 05:22:02.991676,189.16,3.0,groceries,PayPal,True,transactions,,,,,,,,,866.36,Q4,1,2026,3,1,Wednesday,0,0,2025-12-02 05:22:02.993748,2026-07-09 05:22:03.001072,112,29,8,Regular,False,False,False,False,True,False,False,False,29,8,866.36
83.0,CUST_00440,2025-11-07 05:22:02.991681,60.08,4.0,beauty,Wallet,True,transactions,,,,,,,,,821.35,Q2,0,2025,11,4,Friday,0,1,2025-09-25 05:22:03.002969,2026-06-24 05:22:02.999378,42,44,7,Regular,True,False,False,False,False,False,False,False,44,7,821.35
84.0,CUST_00019,2025-09-25 05:22:02.991687,91.35,1.0,sports,PayPal,True,transactions,,,,,,,,,541.76,Q2,0,2025,9,3,Thursday,0,0,2025-08-17 05:22:02.996244,2026-06-04 05:22:02.991665,38,64,5,Occasional,False,False,False,False,False,False,True,False,64,5,541.76
85.0,CUST_00383,2026-06-22 05:22:02.991692,130.51,4.0,clothing,Credit Card,False,transactions,,,,,,,,,517.96,Q3,0,2026,6,2,Monday,0,0,2025-08-26 05:22:02.996606,2026-06-22 05:22:02.991692,299,46,4,Occasional,False,False,True,False,False,False,False,False,46,4,517.96
86.0,CUST_00356,2026-03-07 05:22:02.991697,81.04,1.0,electronics,Credit Card,False,transactions,,,,,,,,,240.66000000000003,Q2,0,2026,3,1,Saturday,1,0,2025-10-09 05:22:02.996122,2026-03-07 05:22:02.991697,148,153,4,Occasional,False,False,False,True,False,False,False,False,153,4,240.66000000000003
87.0,CUST_00192,2025-12-30 05:22:02.991702,79.04,2.0,sports,Debit Card,False,transactions,,,,,,,,,842.55,Q2,0,2025,12,4,Tuesday,0,1,2025-08-13 05:22:02.994451,2026-07-26 05:22:03.002614,138,11,10,Regular,False,False,False,False,False,False,True,False,11,10,842.55
88.0,CUST_00041,2025-09-29 05:22:02.991708,100.1,4.0,sports,Debit Card,False,transactions,,,,,,,,,863.45,Q3,0,2025,9,3,Monday,0,0,2025-09-21 05:22:02.999965,2026-05-27 05:22:02.996223,7,72,7,Regular,False,False,False,False,False,False,True,False,72,7,863.45
89.0,CUST_00327,2026-03-30 05:22:02.991713,96.16,4.0,books,Wallet,True,transactions,,,,,,,,,703.51,Q3,0,2026,3,1,Monday,0,0,2025-10-07 05:22:02.993447,2026-04-21 05:22:02.995945,173,108,8,Regular,False,True,False,False,False,False,False,False,108,8,703.51
90.0,CUST_00347,2025-11-01 05:22:02.991719,179.12,2.0,clothing,PayPal,True,transactions,,,,,,,,,344.89,Q4,1,2025,11,4,Saturday,1,1,2025-08-12 05:22:03.002672,2025-11-01 05:22:02.991719,80,279,4,Occasional,False,False,True,False,False,False,False,False,279,4,344.89
